ac_code,ac_name,Winner-2024 PE,Sai & Team,KK Review
1,Kalka,BJP,INC,INC
2,Panchkula,BJP,INC,INC
3,Naraingarh,INC,INC,INC
4,Ambala Cantt.,BJP,Tough Fight,Tough Fight
5,Ambala City,BJP,Tough Fight,INC
6,Mulana (SC),INC,INC,INC
7,Sadhaura (SC),INC,INC,INC
8,Jagadhri,INC,INC,INC
9,Yamunanagar,BJP,BJP,BJP
10,Radaur,BJP,Tough Fight,INC
11,Ladwa,BJP,Tough Fight,INC
12,Shahbad (SC),AAP,INC,INC
13,Thanesar,BJP,INC,INC
14,Pehowa,AAP,INC,INC
15,Guhla (SC),AAP,INC,INC
16,Kalayat,AAP,INC,INC
17,Kaithal,BJP,INC,INC
18,Pundri,BJP,BJP,Independent
19,Nilokheri (SC),BJP,INC,INC
20,Indri,BJP,BJP,Tough Fight
21,Karnal,BJP,BJP,Tough Fight
22,Gharaunda,BJP,BJP,Tough Fight
23,Assandh,BJP,Tough Fight,INC
24,Panipat Rural,BJP,BJP,Tough Fight
25,Panipat City,BJP,BJP,Tough Fight
26,Israna (SC),BJP,Tough Fight,INC
27,Samalkha,BJP,INC,INC
28,Ganaur,BJP,Tough Fight,INC
29,Rai,BJP,Tough Fight,INC
30,Kharkhauda (SC),INC,INC,INC
31,Sonipat,BJP,INC,INC
32,Gohana,INC,BJP,Tough Fight
33,Baroda,INC,INC,INC
34,Julana,INC,INC,INC
35,Safidon,BJP,Tough Fight,INC
36,Jind,BJP,Tough Fight,Tough Fight
37,Uchana kalan,INC,INC,INC
38,Narwana (SC),INC,INC,INC
39,Tohana,INC,INC,INC
40,Fatehabad,INC,INC,INC
41,Ratia (SC),INC,INC,INC
42,Kalawali (SC),INC,INC,INC
43,Dabwali,INC,INC,INC
44,Rania,INC,INC,INC
45,Sirsa,INC,INC,INC
46,Ellenabad,INC,INC,INC
47,Adampur,INC,BJP,Tough Fight
48,Uklana (SC),INC,INC,INC
49,Narnaund,INC,INC,INC
50,Hansi,BJP,INC,INC
51,Barwala,BJP,BJP,Tough Fight
52,Hisar,BJP,BJP,Tough Fight
53,Nalwa,INC,INC,INC
54,Loharu,INC,INC,INC
55,Badhra,INC,INC,INC
56,Dadri,INC,BJP,Tough Fight
57,Bhiwani,BJP,BJP,Tough Fight
58,Tosham,BJP,Tough Fight,INC
59,Bawani Khera (SC),INC,BJP,Tough Fight
60,Meham,INC,INC,INC
61,Garhi Sampla-Kiloi,INC,INC,INC
62,Rohtak,INC,BJP,Tough Fight
63,Kalanaur (SC),INC,INC,INC
64,Bahadurgarh,INC,INC,INC
65,Badli,INC,INC,INC
66,Jhajjar (SC),INC,INC,INC
67,Beri,INC,INC,INC
68,Ateli,BJP,INC,INC
69,Mahendragarh,BJP,INC,INC
70,Narnaul,BJP,BJP,Tough Fight
71,Nangal Chaudhry,BJP,Tough Fight,INC
72,Bawal (SC),BJP,BJP,BJP
73,Kosli,INC,BJP,Tough Fight
74,Rewari,BJP,BJP,Tough Fight
75,Pataudi (SC),BJP,BJP,BJP
76,Badshahpur,BJP,BJP,Tough Fight
77,Gurgaon,BJP,BJP,BJP
78,Sohna,BJP,Tough Fight,INC
79,Nuh,INC,INC,INC
80,Ferozepur Jhirka,INC,INC,INC
81,Punahana,INC,INC,INC
82,Hathin,INC,INC,INC
83,Hodal (SC),INC,BJP,Tough Fight
84,Palwal,BJP,BJP,Tough Fight
85,Prithla,INC,BJP,Tough Fight
86,Faridabad NIT,BJP,BJP,Tough Fight
87,Badkhal,BJP,BJP,Tough Fight
88,Ballabhgarh,BJP,BJP,BJP
89,Faridabad,BJP,BJP,Tough Fight
90,Tigaon,BJP,BJP,Tough Fight
